[DEBUG] 2022-08-17 14:07:41.730 [main] logging - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
[DEBUG] 2022-08-17 14:07:41.744 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2022-08-17 14:07:41.746 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2022-08-17 14:07:41.752 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2022-08-17 14:07:41.776 [main] Version - HHH000412: Hibernate ORM core version 5.6.10.Final
[INFO ] 2022-08-17 14:07:41.779 [main] Environment - HHH000205: Loaded properties from resource hibernate.properties: {hibernate.connection.username=postgres, hibernate.connection.password=****, hibernate.dialect=org.hibernate.dialect.PostgreSQLDialect, hibernate.show_sql=true, hibernate.connection.url=jdbc:postgresql://beck-db-instance.cewwl2d9shzm.us-east-1.rds.amazonaws.com:5432/postgres?currentSchema=pokebowl, hibernate.bytecode.use_reflection_optimizer=false, hibernate.connection.driver_class=org.postgresql.Driver, hibernate.hbm2ddl.auto=update}
[DEBUG] 2022-08-17 14:07:42.001 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2022-08-17 14:07:42.002 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2022-08-17 14:07:42.002 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[DEBUG] 2022-08-17 14:07:42.009 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2022-08-17 14:07:42.009 [main] Configuration - Building session factory using provided StandardServiceRegistry
[DEBUG] 2022-08-17 14:07:42.022 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2022-08-17 14:07:42.023 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2022-08-17 14:07:42.048 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[DEBUG] 2022-08-17 14:07:42.204 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@97e93f1
[DEBUG] 2022-08-17 14:07:42.205 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@97e93f1
[DEBUG] 2022-08-17 14:07:42.205 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@97e93f1
[DEBUG] 2022-08-17 14:07:42.206 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@16150369
[DEBUG] 2022-08-17 14:07:42.206 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@3932c79a
[DEBUG] 2022-08-17 14:07:42.207 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@34bde49d
[DEBUG] 2022-08-17 14:07:42.208 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@210ab13f
[DEBUG] 2022-08-17 14:07:42.208 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@210ab13f
[DEBUG] 2022-08-17 14:07:42.208 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@210ab13f
[DEBUG] 2022-08-17 14:07:42.209 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@29d80d2b
[DEBUG] 2022-08-17 14:07:42.209 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@29d80d2b
[DEBUG] 2022-08-17 14:07:42.209 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@29d80d2b
[DEBUG] 2022-08-17 14:07:42.210 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@5340477f
[DEBUG] 2022-08-17 14:07:42.210 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@5340477f
[DEBUG] 2022-08-17 14:07:42.211 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@5340477f
